date,end_date,Aceh,Sumatera Utara,Sumatera Barat,Riau,Jambi,Sumatera Selatan,Bengkulu,Lampung,Bangka Belitung,Kepulauan Riau,Dki Jakarta,Jawa Barat,Jawa Tengah,Daerah Istimewa Yogyakarta,Jawa Timur,Banten,Bali,Nusa Tenggara Barat,Nusa Tenggara Timur,Kalimantan Barat,Kalimantan Tengah,Kalimantan Selatan,Kalimantan Timur,Kalimantan Utara,Sulawesi Utara,Sulawesi Tengah,Sulawesi Selatan,Sulawesi Tenggara,Gorontalo,Sulawesi Barat,Maluku,Maluku Utara,Papua Barat,Papua
25-Oct-2020,26-Oct-2020,1,5,1,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,5,1,1,2,1,5
26-Oct-2020,27-Oct-2020,1,5,1,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,5,1,2,1,1,5
27-Oct-2020,28-Oct-2020,1,5,1,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,5,1,1,1,1,5
28-Oct-2020,29-Oct-2020,1,5,1,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,5,1,1,1,1,5
29-Oct-2020,30-Oct-2020,1,5,1,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,5,2,1,2,1,5
30-Oct-2020,31-Oct-2020,1,5,1,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,2,5,1,1,1,5,1,2,1,1,5,1,2,1,1,5
31-Oct-2020,1-Nov-2020,1,5,1,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,5,1,1,2,1,5
1-Nov-2020,2-Nov-2020,1,5,1,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,2,1,1,5,1,1,1,1,5,1,1,2,1,5
2-Nov-2020,3-Nov-2020,1,5,1,1,5,5,5,5,5,2,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,5,2,2,1,2,5
3-Nov-2020,4-Nov-2020,2,5,2,2,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,5,2,2,2,5,2,2,2,2,5,2,2,2,2,5
4-Nov-2020,5-Nov-2020,2,5,2,2,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,5,2,2,2,5,2,2,2,2,5,2,2,2,2,5
5-Nov-2020,6-Nov-2020,2,5,2,2,5,5,5,5,5,1,2,2,2,2,2,2,2,2,2,5,2,2,2,5,2,2,2,2,5,2,2,2,2,5
6-Nov-2020,7-Nov-2020,1,5,1,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,5,2,1,1,3,5
7-Nov-2020,8-Nov-2020,1,5,2,1,5,5,5,5,5,1,1,2,1,2,1,1,1,1,1,5,1,1,1,5,1,2,1,1,5,2,2,1,4,5
8-Nov-2020,9-Nov-2020,1,5,2,1,5,5,5,5,5,1,1,2,1,1,1,1,1,1,1,5,1,1,1,5,1,2,1,1,5,1,2,2,5,5
9-Nov-2020,10-Nov-2020,1,5,2,1,5,5,5,5,5,1,1,2,1,1,1,1,1,1,1,5,1,1,1,5,2,2,1,2,5,2,2,1,5,5
10-Nov-2020,11-Nov-2020,1,5,2,1,5,5,5,5,5,1,1,2,1,1,1,1,1,1,1,5,1,1,1,5,1,2,1,1,5,1,2,1,5,5
